,pos,left,right,up,down
0,"(2, 5)",,"(3, 5)",,"(2, 6)"
1,"(3, 5)","(2, 5)","(4, 5)",,
2,"(4, 5)","(3, 5)","(5, 5)",,
3,"(5, 5)","(4, 5)","(6, 5)",,
4,"(6, 5)","(5, 5)","(7, 5)",,
5,"(7, 5)","(6, 5)","(8, 5)",,"(7, 6)"
6,"(8, 5)","(7, 5)","(9, 5)",,
7,"(9, 5)","(8, 5)","(10, 5)",,
8,"(10, 5)","(9, 5)","(11, 5)",,
9,"(11, 5)","(10, 5)","(12, 5)",,
10,"(12, 5)","(11, 5)","(13, 5)",,
11,"(13, 5)","(12, 5)",,,"(13, 6)"
12,"(16, 5)",,"(17, 5)",,"(16, 6)"
13,"(17, 5)","(16, 5)","(18, 5)",,
14,"(18, 5)","(17, 5)","(19, 5)",,
15,"(19, 5)","(18, 5)","(20, 5)",,
16,"(20, 5)","(19, 5)","(21, 5)",,
17,"(21, 5)","(20, 5)","(22, 5)",,
18,"(22, 5)","(21, 5)","(23, 5)",,"(22, 6)"
19,"(23, 5)","(22, 5)","(24, 5)",,
20,"(24, 5)","(23, 5)","(25, 5)",,
21,"(25, 5)","(24, 5)","(26, 5)",,
22,"(26, 5)","(25, 5)","(27, 5)",,
23,"(27, 5)","(26, 5)",,,"(27, 6)"
24,"(2, 6)",,,"(2, 5)","(2, 7)"
25,"(7, 6)",,,"(7, 5)","(7, 7)"
26,"(13, 6)",,,"(13, 5)","(13, 7)"
27,"(16, 6)",,,"(16, 5)","(16, 7)"
28,"(22, 6)",,,"(22, 5)","(22, 7)"
29,"(27, 6)",,,"(27, 5)","(27, 7)"
30,"(2, 7)",,,"(2, 6)","(2, 8)"
31,"(7, 7)",,,"(7, 6)","(7, 8)"
32,"(13, 7)",,,"(13, 6)","(13, 8)"
33,"(16, 7)",,,"(16, 6)","(16, 8)"
34,"(22, 7)",,,"(22, 6)","(22, 8)"
35,"(27, 7)",,,"(27, 6)","(27, 8)"
36,"(2, 8)",,,"(2, 7)","(2, 9)"
37,"(7, 8)",,,"(7, 7)","(7, 9)"
38,"(13, 8)",,,"(13, 7)","(13, 9)"
39,"(16, 8)",,,"(16, 7)","(16, 9)"
40,"(22, 8)",,,"(22, 7)","(22, 9)"
41,"(27, 8)",,,"(27, 7)","(27, 9)"
42,"(2, 9)",,"(3, 9)","(2, 8)","(2, 10)"
43,"(3, 9)","(2, 9)","(4, 9)",,
44,"(4, 9)","(3, 9)","(5, 9)",,
45,"(5, 9)","(4, 9)","(6, 9)",,
46,"(6, 9)","(5, 9)","(7, 9)",,
47,"(7, 9)","(6, 9)","(8, 9)","(7, 8)","(7, 10)"
48,"(8, 9)","(7, 9)","(9, 9)",,
49,"(9, 9)","(8, 9)","(10, 9)",,
50,"(10, 9)","(9, 9)","(11, 9)",,"(10, 10)"
51,"(11, 9)","(10, 9)","(12, 9)",,
52,"(12, 9)","(11, 9)","(13, 9)",,
53,"(13, 9)","(12, 9)","(14, 9)","(13, 8)",
54,"(14, 9)","(13, 9)","(15, 9)",,
55,"(15, 9)","(14, 9)","(16, 9)",,
56,"(16, 9)","(15, 9)","(17, 9)","(16, 8)",
57,"(17, 9)","(16, 9)","(18, 9)",,
58,"(18, 9)","(17, 9)","(19, 9)",,
59,"(19, 9)","(18, 9)","(20, 9)",,"(19, 10)"
60,"(20, 9)","(19, 9)","(21, 9)",,
61,"(21, 9)","(20, 9)","(22, 9)",,
62,"(22, 9)","(21, 9)","(23, 9)","(22, 8)","(22, 10)"
63,"(23, 9)","(22, 9)","(24, 9)",,
64,"(24, 9)","(23, 9)","(25, 9)",,
65,"(25, 9)","(24, 9)","(26, 9)",,
66,"(26, 9)","(25, 9)","(27, 9)",,
67,"(27, 9)","(26, 9)",,"(27, 8)","(27, 10)"
68,"(2, 10)",,,"(2, 9)","(2, 11)"
69,"(7, 10)",,,"(7, 9)","(7, 11)"
70,"(10, 10)",,,"(10, 9)","(10, 11)"
71,"(19, 10)",,,"(19, 9)","(19, 11)"
72,"(22, 10)",,,"(22, 9)","(22, 11)"
73,"(27, 10)",,,"(27, 9)","(27, 11)"
74,"(2, 11)",,,"(2, 10)","(2, 12)"
75,"(7, 11)",,,"(7, 10)","(7, 12)"
76,"(10, 11)",,,"(10, 10)","(10, 12)"
77,"(19, 11)",,,"(19, 10)","(19, 12)"
78,"(22, 11)",,,"(22, 10)","(22, 12)"
